,JKT,JKM,GRS,HARGA,LT,LB
584,3,1,0,1.5,65,65
585,3,2,1,1.65,75,150
586,3,2,0,3.7,150,200
587,2,2,1,2.1,63,120
588,3,1,0,0.775,90,80
589,4,4,1,1.2,86,125
590,5,4,1,3.1,200,350
591,2,2,0,0.9,70,140
593,5,2,0,5.0,242,325
594,2,2,0,1.5,96,120
595,6,3,1,3.25,449,150
596,4,4,0,3.0,108,330
597,3,2,0,3.0,110,220
599,4,4,1,1.2,86,130
601,2,2,0,0.75,105,130
602,3,3,1,3.7,250,225
604,3,3,1,1.9,221,250
605,4,3,1,3.0,320,320
611,4,3,0,1.2,84,200
613,6,2,1,7.7,267,375
614,4,2,1,2.1,210,160
617,4,4,1,0.95,162,122
618,5,2,0,0.95,78,156
620,3,3,2,2.0,85,120
623,3,2,1,1.4,54,200
625,1,1,0,1.95,130,100
626,3,2,0,2.6,130,240
628,3,3,4,3.9,127,250
630,4,3,1,0.9,85,200
634,3,2,1,1.65,97,140
636,4,5,0,10.0,483,550
637,3,3,0,2.2,133,180
638,1,1,0,0.35,26,52
639,3,2,1,1.5,54,180
641,4,3,1,4.5,298,300
642,4,3,0,2.3,134,200
643,2,1,0,1.3,118,100
644,3,2,0,1.55,75,140
645,3,2,0,0.75,98,90
646,3,1,0,0.65,98,90
647,2,2,0,0.999,94,120
650,4,2,2,1.97,120,150
651,2,1,0,1.2,121,110
654,4,3,1,1.65,75,140
656,4,3,0,1.55,75,140
657,8,2,0,9.0,380,280
659,7,2,2,4.0,197,430
661,3,2,1,1.5,75,140
663,3,3,1,3.2,109,250
664,3,1,0,0.815,157,109
667,3,2,1,1.95,221,250
668,2,1,0,0.5,35,63
669,7,3,1,7.75,267,365
670,4,3,0,3.1,200,350
675,2,1,0,0.4,60,50
676,4,3,0,6.0,330,150
677,3,2,1,1.3,144,70
680,4,3,0,1.6,75,150
683,4,5,7,13.0,483,550
684,3,2,1,1.7,106,180
685,2,1,1,0.17,60,36
687,6,3,0,2.1,127,173
688,3,3,1,1.0,65,100
689,4,2,0,1.97,120,150
690,4,3,0,1.0,84,200
692,4,3,1,1.6,75,140
693,4,3,1,3.8,298,300
695,3,2,0,0.525,46,56
700,3,2,1,1.7,75,140
702,4,3,1,1.6,121,150
703,2,1,1,1.15,102,51
704,3,3,2,1.65,122,160
705,4,3,1,1.6,121,78
706,7,7,4,4.0,399,300
707,4,3,2,2.25,109,202
708,3,2,0,1.34,91,90
709,5,2,2,4.0,399,300
710,4,4,1,2.59,330,200
711,2,1,1,1.8,130,80
712,4,2,1,1.7,136,100
713,4,2,2,1.5,120,200
714,6,4,1,4.2,200,300
715,2,2,2,1.1,150,120
716,2,1,1,0.85,104,95
717,4,3,3,3.5,256,237
718,3,2,1,1.8,168,200
719,3,2,0,2.35,100,170
720,3,3,1,1.39,90,88
721,3,2,2,1.5,115,98
722,5,3,3,2.2,174,240
723,4,3,1,3.15,215,140
724,3,2,1,1.52,116,110
