Unnamed: 0,JKT,JKM,GRS,LT,LB,Category
852,3,3,0,122,160,Sedang
853,3,1,1,120,80,Murah
854,2,2,0,120,270,Murah
855,7,6,0,239,314,Mahal
856,2,1,1,102,65,Murah
857,3,2,2,171,239,Sedang
858,3,3,1,70,105,Sedang
859,3,3,2,216,120,Mahal
860,5,3,2,180,360,Mahal
861,4,3,1,160,160,Sedang
862,4,2,1,151,198,Sedang
863,3,2,1,60,90,Murah
864,4,3,1,135,225,Sedang
866,3,2,1,112,100,Sedang
867,2,1,2,90,50,Murah
868,3,2,1,100,100,Sedang
869,4,2,1,70,100,Murah
870,3,2,1,105,110,Sedang
871,4,3,1,135,225,Sedang
872,5,3,1,239,250,Mahal
874,3,2,1,104,90,Murah
875,2,2,2,68,50,Murah
877,4,4,1,160,245,Sedang
880,6,4,1,310,265,Mahal
881,4,2,0,186,200,Mahal
882,4,2,1,216,200,Sedang
883,4,3,1,140,100,Sedang
885,3,1,1,120,90,Murah
887,4,2,0,216,200,Sedang
888,4,4,1,140,120,Sedang
889,3,1,1,198,60,Sedang
890,4,3,2,230,197,Sedang
891,4,4,2,270,310,Sedang
892,5,4,4,397,300,Sedang
895,5,4,0,121,128,Sedang
896,6,4,1,140,220,Sedang
897,5,3,3,113,320,Sedang
898,3,3,0,96,144,Sedang
899,3,2,0,78,90,Sedang
900,4,4,2,95,125,Sedang
901,3,2,1,120,144,Sedang
905,2,1,0,101,50,Sedang
906,3,2,1,90,100,Murah
907,2,2,2,120,110,Sedang
908,4,3,1,195,300,Mahal
909,4,3,2,68,120,Sedang
910,5,4,0,144,200,Sedang
911,3,2,0,104,134,Sedang
914,3,2,0,52,52,Murah
915,3,3,0,90,110,Sedang
916,3,2,0,60,41,Murah
918,3,2,0,60,50,Murah
919,2,2,0,54,41,Murah
922,8,2,0,135,135,Murah
923,2,3,0,60,150,Sedang
926,4,2,2,225,225,Sedang
929,2,2,1,112,75,Murah
930,3,2,1,145,100,Sedang
932,2,2,1,118,159,Sedang
936,8,6,0,280,450,Mahal
940,4,5,3,225,350,Sedang
945,5,6,1,260,400,Mahal
947,4,2,2,120,200,Sedang
948,3,1,1,106,94,Murah
949,3,2,0,107,70,Murah
950,3,2,1,176,150,Sedang
951,4,3,1,160,150,Sedang
952,4,3,1,150,250,Sedang
953,5,3,0,105,175,Sedang
954,3,2,0,176,140,Sedang
955,3,2,1,107,90,Murah
956,3,2,0,128,200,Sedang
957,4,4,0,114,200,Sedang
958,4,4,1,300,205,Sedang
959,3,3,1,410,200,Sedang
960,3,3,2,96,135,Sedang
961,3,2,1,327,120,Sedang
963,3,2,2,100,135,Sedang
964,5,5,3,424,500,Mahal
965,2,2,1,176,120,Sedang
966,4,3,2,120,110,Sedang
967,3,2,1,99,70,Murah
968,3,3,0,117,110,Murah
969,4,3,2,120,150,Murah
970,3,3,2,300,108,Sedang
971,4,4,2,114,200,Sedang
972,4,3,0,144,180,Sedang
973,4,5,3,311,420,Mahal
974,3,2,2,128,200,Sedang
975,3,2,1,120,170,Sedang
976,3,2,1,60,100,Murah
977,3,3,2,146,115,Sedang
978,2,1,1,92,92,Murah
979,3,3,1,96,135,Sedang
981,3,2,1,93,70,Murah
982,3,2,1,98,65,Murah
983,4,4,2,220,180,Sedang
984,4,5,2,359,300,Mahal
985,3,3,1,120,118,Sedang
986,4,2,1,200,150,Sedang
987,2,2,1,60,70,Murah
988,2,2,1,60,60,Murah
989,2,1,1,93,92,Murah
990,3,2,2,355,240,Sedang
991,3,2,1,100,155,Sedang
992,3,3,1,200,200,Sedang
993,3,2,2,327,120,Sedang
994,3,3,2,122,160,Sedang
995,5,4,2,120,130,Sedang
